internal_error_code,error_description,code_detail,failure_type,point_of_failure,next_best_action,failure_stage,recoverable
BAD_REQUEST_TRANSACTION_AMOUT_GREATER_THAN_REGISTERED_AMOUNT,Amount greater than registered amount,limit_breach,Business,Merchant,Non actionable,Initiation,N
BAD_REQUEST_VALIDATION_FAILURE,Merchant validation failed,checksum_error,Technical,Merchant,Non actionable,Initiation,N
BAD_REQUEST_PAYMENT_FAILED_BECAUSE_SESSION_EXPIRED,Session expired,session_expired,Technical,Merchant,Non actionable,Initiation,N
BAD_REQUEST_OPERATION_NOT_ALLOWED_FOR_TEST_ACCOUNT,Operation not allowed for test account,Test account used,Technical,Merchant,Non actionable,Initiation,N
BAD_REQUEST_PAYMENT_DECLINED_3DSECURE_AUTH_FAILED,3DS Authentication Failed (headless OTP),authorization_failure,Technical,Razorpay,Non actionable,Authentication,D
GATEWAY_ERROR_PAYMENT_CAPTURE_FAILED,Payment capture failed,capture_failure,Technical,Razorpay,Non actionable,Capture,N
BAD_REQUEST_PAYMENT_CARD_AUTHENTICATION_NOT_AVAILABLE,Card authentication not available,authentication_failure,Technical,Razorpay,Non actionable,Authentication,N
BAD_REQUEST_ORDER_EXISTS,Duplicate order ID used for payment.,duplicate_request,Technical,Razorpay,Non actionable,,N
BAD_REQUEST_PAYMENT_FAILED_DUE_TO_INVALID_BIN,Invalid BIN used for payment,invalid_card,Technical,Razorpay,Retry with another card,Authentication,D
BAD_REQUEST_PAYMENT_CARD_NUMBER_POSSIBLY_INVALID,Invalid card number,invalid_card,Business,Razorpay,Retry with correct details/ another card,Authentication,D
BAD_REQUEST_PAYMENT_CARD_NUMBER_NOT_LEGITIMATE,Invalid card number,invalid_card,Business,Razorpay,Retry with correct details/ another card,Authentication,D
BAD_REQUEST_PAYMENT_CARD_INVALID_EXPIRY_DATE,Invalid expiry date,invalid_card,Business,Razorpay,Retry with correct details/ another card,Authentication,D
BAD_REQUEST_PAYMENT_INVALID_AMOUNT_OR_CURRENCY,Invalid amount or currency,invalid_card,Business,Razorpay,Retry with another card,,D
BAD_REQUEST_INVALID_COUNTRY,Invalid country,invalid_card,Business,Razorpay,Retry with another card,Authentication,D
GATEWAY_ERROR_INVALID_PAYMENT_DATA,Payment Failed,invalid_request,Technical,Razorpay,Non actionable,,N
GATEWAY_ERROR_TRANSACTION_NOT_PRESENT,Payment Failed,transaction_not_found,Technical,Razorpay,Non actionable,,N
GATEWAY_ERROR_NO_RECORDS_FOUND,Payment Failed,transaction_not_found,Technical,Razorpay,Non actionable,,N
BAD_REQUEST_PAYMENT_INVALID_FORMAT,Payment Failed,invalid_request,Technical,Razorpay,Non actionable,,N
BAD_REQUEST_PAYMENT_PARES_XML_SIGNATURE_ERROR,Invalid payment format,Incorrect Request,Technical,Razorpay,Non actionable,,N
